Source     time(min)     time(sec)
0104-408     4     240
0308-611     4     240
0402-362     4     240
0437-454     4     240
0700-197     4     240
0826-373     4     240
1325-558     4     240
1424-418     4     240
0230-790     6     360
0506-612     6     360
0530-727     6     360
0918-534     6     360
1004-500     6     360
1036-529     6     360
1143-696     6     360
1251-713     6     360
1312-533     6     360
1406-267     6     360
1420-679     6     360
1511-476     6     360
1511-558     6     360
1619-680     6     360
1624-617     6     360
1759-396     6     360
1815-553     6     360
1925-610     6     360
1935-692     6     360
2142-758     6     360
1954-388     6     360
2236-572     6     360
2353-686     6     360
0002-478     8     480
0035-252     8     480
0038-326     8     480
0044-846     8     480
0107-610     8     480
0227-369     8     480
0234-301     8     480
0235-618     8     480
0316-444     8     480
0332-403     8     480
0346-279     8     480
0347-211     8     480
0355-669     8     480
0400-319     8     480
0522-611     8     480
0524-485     8     480
0534-340     8     480
0537-286     8     480
0627-199     8     480
0642-349     8     480
0646-306     8     480
0700-465     8     480
0738-674     8     480
0742-562     8     480
0804-267     8     480
0809-493     8     480
0855-716     8     480
1004-217     8     480
1016-311     8     480
1022-665     8     480
1034-374     8     480
1101-536     8     480
1116-462     8     480
1143-245     8     480
1143-332     8     480
1244-255     8     480
1245-457     8     480
1306-395     8     480
1313-333     8     480
1412-368     8     480
1435-218     8     480
1448-648     8     480
1451-400     8     480
1519-273     8     480
1556-245     8     480
1600-445     8     480
1606-398     8     480
1647-296     8     480
1657-261     8     480
1718-259     8     480
1806-458     8     480
1929-457     8     480
2002-375     8     480
2037-253     8     480
2109-811     8     480
2155-304     8     480
2210-257     8     480
2220-351     8     480
2232-488     8     480
2244-372     8     480
2245-328     8     480
2331-240     8     480
