# enter downtime
# format: station start end (optional comment)
# datetime format according to ISO 8601
#
# PLEASE NOTE THAT DOWNTIMES DUE TO IVS INTENSIVES ARE AUTOMATICALLY APPLIED AND DO NOT HAVE TO BE LISTED HERE!
# THESE DOWNTIMES ARE NOT APPLIED TO INTENSIVE SESSIONS
#
# example: downtime for WETTZELL between noon and 2pm on January 5th with optional comment:
# WETTZELL 2020-01-05T12:00 2020-01-05T14:00 antenna maintenance
DSS36 2020-09-16T07:15 2020-09-16T17:30 DSS downtime
#
DSS56 2021-03-31T10:45 2021-03-31T17:30 downtime T2145
DSS36 2021-03-31T16:05 2021-03-31T17:30 downtime T2145
DSS26 2021-03-31T07:40 2021-03-31T17:30 downtime T2145
#
DSS36 2021-05-12T13:50 2021-05-12T17:30 downtime T2146
DSS26 2021-05-11T17:30 2021-05-12T00:30 downtime T2146
DSS26 2021-05-12T06:30 2021-05-12T17:30 downtime T2146
#
DSS26 2021-07-13T17:30 2021-07-14T00:30 downtime T2147
DSS26 2021-07-14T16:00 2021-07-14T17:30 downtime T2147
#
DSS56 2021-09-14T17:30 2021-09-14T19:45 downtime T2148
DSS56 2021-09-15T14:00 2021-09-15T17:30 downtime T2148
#
DSS56 2021-10-19T17:30 2021-10-19T18:30 downtime T2149
DSS56 2021-10-20T10:10 2021-10-20T17:30 downtime T2149
DSS36 2021-10-19T17:30 2021-10-19T17:35 downtime T2149
DSS36 2021-10-20T10:40 2021-10-20T17:30 downtime T2149
#
DSS26 2022-05-18T06:30 2022-05-18T17:30 downtime T2153
#
DSS26 2022-07-12T17:30 2022-07-13T04:35 downtime T2154
#
DSS26 2022-09-13T17:30 2022-09-14T03:00 downtime T2155
DSS26 2022-09-14T10:45 2022-09-14T17:30 downtime T2155
#
ISHIOKA 2022-07-14T17:30 2022-07-14T18:00 downtime AUA090
#
HOBART12 2023-01-19T06:30 2023-01-19T09:00 downtime AUA096
KATH12M  2023-01-19T06:30 2023-01-19T09:00 downtime AUA096
#
DSS36 2023-04-04T17:30 2023-04-05T11:30 downtime T2160
DSS56 2023-08-29T17:30 2023-08-30T00:45 downtime T2162
DSS56 2023-08-30T06:30 2023-08-30T17:30 downtime T2162
#
DSS26 2023-10-24T17:30 2023-10-25T00:00 downtime T2163
DSS26 2023-10-25T12:00 2023-10-25T17:30 downtime T2163
DSS36 2023-10-24T17:30 2023-10-25T00:30 downtime T2163
DSS36 2023-10-25T12:10 2023-10-25T17:30 downtime T2163
DSS56 2023-10-24T17:30 2023-10-24T19:50 downtime T2163
DSS56 2023-10-25T08:45 2023-10-25T17:30 downtime T2163
#
DSS26 2024-01-09T17:30 2024-01-10T02:50 downtime T2165
DSS26 2024-01-10T14:25 2024-01-10T17:30 downtime T2165
#
DSS26 2024-04-16T17:30 2024-04-17T00:00 downtime T2167
DSS26 2024-04-17T14:00 2024-04-17T17:30 downtime T2167
DSS56 2024-04-16T17:30 2024-04-16T19:20 downtime T2167
DSS56 2024-04-17T03:30 2024-04-17T17:30 downtime T2167
#
DSS26 2024-04-27T11:45 2024-04-27T19:00 downtime T2168
DSS56 2024-04-27T17:30 2024-04-27T19:00 downtime T2168
DSS36 2024-04-26T19:00 2024-04-26T21:25 downtime T2168
DSS36 2024-04-27T09:50 2024-04-27T19:00 downtime T2168
#
DSS56 2024-10-01T17:30 2024-10-01T18:00 downtime T2170
DSS56 2024-10-02T15:35 2024-10-02T17:30 downtime T2170
DSS26 2024-10-01T17:30 2024-10-02T00:55 downtime T2170
DSS26 2024-10-02T06:45 2024-10-02T17:30 downtime T2170
DSS36 2024-10-01T17:30 2024-10-02T03:20 downtime T2170
DSS36 2024-10-02T16:45 2024-10-02T17:30 downtime T2170
#
DSS26 2025-04-01T17:30 2025-04-02T01:45 downtime T2174
DSS26 2025-04-02T13:05 2025-04-02T17:30 downtime T2174
DSS36 2025-04-01T17:30 2025-04-02T09:35 downtime T2174
DSS36 2025-04-02T15:30 2025-04-02T17:30 downtime T2174
#
DSS56 2025-08-19T17:30 2025-08-19T18:00 downtime T2176
DSS56 2025-08-20T12:45 2025-08-20T17:30 downtime T2176
DSS36 2025-08-19T17:30 2025-08-20T02:50 downtime T2176
DSS36 2025-08-20T10:45 2025-08-20T17:30 downtime T2176
